id,carat,cut,color,clarity,depth,table,x,y,z,price
17017,0.34,Ideal,H,VVS2,63,55,4.48,4.44,2.81,880
7669,0.35,Premium,D,SI1,62.1,58,4.51,4.54,2.81,644
7309,0.42,Premium,F,SI1,60,59,4.85,4.88,2.92,773
19430,1.05,Very Good,I,SI1,63.5,58,6.46,6.43,4.09,4292
10759,0.7,Premium,E,SI2,63,58,5.69,5.64,3.57,2335
334,1.51,Premium,G,SI1,61.6,59,7.32,7.3,4.5,10739
6248,1.23,Ideal,J,SI1,61.3,54,6.92,6.97,4.26,5181
12664,0.37,Ideal,G,VS1,60.9,57,4.65,4.68,2.84,798
15562,1.02,Good,D,SI1,56.9,62,6.64,6.69,3.79,4948
8681,0.55,Very Good,G,VS2,61.6,56,5.26,5.3,3.25,1563
16504,0.52,Premium,G,VS1,61.7,56,5.21,5.17,3.2,1815
19224,0.73,Ideal,G,VVS1,61.3,56,5.79,5.82,3.56,3667
1471,1.01,Good,D,SI2,63.6,61,6.35,6.33,4.03,3959
24038,0.44,Premium,E,VS2,60.4,59,4.93,4.9,2.97,1073
6446,0.9,Very Good,G,SI2,63.2,58,6.05,6.1,3.84,3787
12549,0.71,Very Good,F,SI1,62.3,60,5.65,5.68,3.53,2436
6868,0.71,Ideal,D,SI2,62.3,56,5.73,5.69,3.56,2762
26729,0.42,Ideal,D,SI2,62.4,57,4.81,4.78,2.99,898
23785,1.08,Very Good,G,VS2,63.2,60,6.53,6.44,4.1,6096
19687,0.43,Premium,D,SI2,60.7,58,4.85,4.91,2.96,716
747,0.3,Premium,I,VS1,61.7,59,4.3,4.26,2.64,608
20572,0.46,Very Good,F,VVS1,62.3,56,4.94,4.98,3.09,1838
17418,0.32,Ideal,H,IF,61.9,54.2,4.38,4.42,2.72,783
2056,0.4,Ideal,D,VVS1,60.3,57,4.81,4.78,2.89,1441
4471,0.29,Very Good,E,VS1,60,57,4.33,4.34,2.6,619
24744,0.42,Ideal,J,VS1,60.9,57,4.83,4.86,2.95,663
4400,0.9,Good,G,SI1,63.7,58,6.12,6.09,3.89,3669
17057,0.4,Ideal,F,VS2,62,57,4.74,4.68,2.92,1080
12215,0.71,Premium,E,SI1,63,58,5.72,5.68,3.59,2554
26777,1.01,Premium,E,SI1,60.5,62,6.5,6.46,3.92,5226
5651,0.75,Ideal,H,SI1,60.4,57,5.93,5.96,3.59,2801
21553,1.26,Ideal,H,SI2,61,56,6.99,6.95,4.25,5998
5236,0.27,Very Good,H,VVS2,62.1,57,4.1,4.15,2.56,486
4287,0.52,Premium,E,SI1,59.8,61,5.2,5.17,3.1,1577
8335,1.2,Ideal,I,SI1,62.1,55,6.83,6.79,4.23,5174
1009,1.25,Ideal,I,SI2,61.4,55,6.92,6.99,4.27,5395
13277,1.06,Ideal,H,SI2,60.9,56,6.58,6.63,4.02,4563
11865,0.84,Ideal,G,VS2,62,55,6.07,6.09,3.77,3936
14585,2,Good,G,SI1,59.1,61,8.14,8.18,4.82,17930
4768,0.71,Very Good,G,SI2,62.4,54,5.72,5.76,3.58,2171
14448,1.05,Ideal,G,VS2,60.8,57,6.58,6.65,4.02,6486
19100,0.53,Ideal,F,VS1,61.6,55,5.21,5.24,3.22,1619
14471,1.71,Ideal,H,VS2,62.4,58,7.64,7.68,4.78,13190
8032,1.06,Premium,F,VS2,61.8,60,6.58,6.53,4.05,6673
13824,1.05,Very Good,E,SI1,59.7,57,6.63,6.71,3.98,6224
22171,2.02,Ideal,I,SI2,62.2,57,8.06,7.99,4.99,10412
14998,0.27,Very Good,E,VS1,60.2,58,4.19,4.22,2.53,470
2027,1.53,Very Good,I,VS1,59.3,58,7.5,7.54,4.46,9823
10310,0.32,Good,E,SI1,63.4,55,4.35,4.36,2.76,561
16648,0.31,Ideal,H,SI1,62.1,54,4.37,4.39,2.72,464
21581,0.41,Ideal,H,SI1,62.9,55,4.82,4.75,3.01,876
12308,1.31,Very Good,H,SI1,60.3,58,7.02,7.1,4.26,7189
799,2.51,Very Good,J,SI1,63.8,55,8.51,8.6,5.46,16842
25437,0.3,Very Good,D,SI2,61,61,4.25,4.31,2.61,447
3424,0.35,Premium,F,VS2,61.4,59,4.53,4.56,2.79,706
13408,0.51,Ideal,E,VS2,61.7,53,5.18,5.2,3.2,1590
7056,0.3,Very Good,D,VVS2,62.9,56,4.27,4.29,2.69,752
2383,0.72,Ideal,F,SI1,61.7,54,5.77,5.8,3.57,2737
18270,0.54,Very Good,G,VVS1,60.6,55,5.28,5.31,3.21,1983
10989,0.41,Very Good,D,SI2,62.7,58,4.75,4.78,2.99,683
23743,0.39,Premium,E,VVS1,60.7,58,4.69,4.73,2.86,1300
13322,0.52,Ideal,E,VS2,61.2,56,5.2,5.16,3.17,1947
25794,1.01,Premium,G,VVS2,58.5,59,6.66,6.6,3.88,6670
21241,1.01,Very Good,H,SI1,62.3,57,6.36,6.42,3.98,4306
24679,2.05,Ideal,J,SI2,61.6,55,8.18,8.11,5.02,12654
22679,0.4,Ideal,E,SI1,62,57,4.78,4.74,2.95,945
9453,0.31,Ideal,F,VS2,62,56,4.35,4.39,2.71,625
12280,1.18,Ideal,E,I1,61.6,56,6.82,6.79,4.19,4229
19050,1.22,Ideal,G,VS1,62.5,57,6.82,6.77,4.25,8608
18954,0.39,Very Good,D,VVS2,62.9,58,4.62,4.66,2.92,1232
15912,1.02,Premium,E,VVS1,61.5,59,6.41,6.46,3.96,11062
125,2.8,Premium,I,SI2,61.1,59,9.03,8.98,5.5,15030
16672,2.1,Premium,J,SI2,62,62,8.23,8.17,5.08,12308
955,0.45,Ideal,I,VS1,61.9,54,4.95,4.97,3.07,825
18357,1.07,Very Good,H,VS1,62.5,56,6.52,6.55,4.08,6262
11383,0.47,Premium,H,VS1,60.3,61,5.05,5.04,3.04,1244
1503,1.2,Ideal,D,SI1,62.7,55,6.71,6.79,4.23,7761
15076,0.76,Very Good,J,VS1,59.3,63,6.12,5.93,3.55,2036
10321,0.78,Premium,E,VS2,62.6,57,5.91,5.85,3.68,2970
24884,0.39,Ideal,D,VVS2,61.8,57,4.67,4.71,2.9,1232
5900,0.9,Very Good,G,SI1,63,57,6.13,6.19,3.88,3681
9943,2.09,Premium,J,SI2,60,60,8.32,8.37,5.01,13092
23554,0.56,Ideal,D,VS2,61.4,57,5.36,5.32,3.28,2066
11245,0.71,Ideal,D,VS2,61.2,57,5.72,5.76,3.51,4029
21528,0.58,Ideal,F,VVS1,61.6,57,5.33,5.38,3.3,2728
10316,1.51,Ideal,E,VS1,61.5,57,7.34,7.4,4.53,18729
7223,0.38,Ideal,D,SI1,61.3,57,4.67,4.7,2.87,884
11199,0.74,Very Good,H,VVS2,60.5,60,5.79,5.81,3.51,2921
12838,0.3,Very Good,G,IF,61.4,59,4.27,4.3,2.63,831
7649,1.01,Ideal,I,VS1,62.8,57,6.42,6.38,4.02,3991
22565,1.01,Premium,G,IF,61.3,58,6.48,6.4,3.95,7352
22694,1.07,Very Good,H,VS2,61.5,57,6.57,6.63,4.06,5254
